Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting)
"Belgium","NET-Brussels","Brussels","BETMEU1","41MEU1 - MEUDON","SPO-BETMEU1_00008_100","NO2","Nitrogen dioxide (air)","P3Y","3 subsequent calendar years mean","2015","28.492","ug/m3","95.83","1","Background","Suburban","4.3957","50.8950","34.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 21:36:00","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=8&Year_from=2015&Year_to=2015&Station=STA-BETMEU1&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETMEU1","41MEU1 - MEUDON","SPO-BETMEU1_04013_100","Hg0","Elemental Gaseous Mercury (air+aerosol)","P1Y-hr-min","1 year hour min","2015","0.700","ng/m3","32.27","1","Background","Suburban","4.3957","50.8950","34.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 22:31:20","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=4013&Year_from=2015&Year_to=2015&Station=STA-BETMEU1&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETMEU1","41MEU1 - MEUDON","SPO-BETMEU1_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-day-min","1 year day min","2015","3.042","ug/m3","86.58","1","Background","Suburban","4.3957","50.8950","34.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 21:55:29","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=6001&Year_from=2015&Year_to=2015&Station=STA-BETMEU1&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETMEU1","41MEU1 - MEUDON","SPO-BETMEU1_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-hr-min","1 year hour min","2015","0.500","ug/m3","88.41","1","Background","Suburban","4.3957","50.8950","34.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 22:31:20","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=6001&Year_from=2015&Year_to=2015&Station=STA-BETMEU1&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETN043","41N043 - HAREN","SPO-BETN043_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max4","1 year day max 4","2015","8.250","ug/m3","96.99","1","Industrial","Suburban","4.3830","50.8837","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 22:31:46","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=1&Year_from=2015&Year_to=2015&Station=STA-BETN043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETN043","41N043 - HAREN","SPO-BETN043_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y-hr-max","1 year hour max","2015","260.000","ug/m3","81.51","1","Industrial","Suburban","4.3830","50.8837","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 21:57:02","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=5&Year_from=2015&Year_to=2015&Station=STA-BETN043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETN043","41N043 - HAREN","SPO-BETN043_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y-hr-min","1 year hour min","2015","2.000","ug/m3","81.51","1","Industrial","Suburban","4.3830","50.8837","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 22:31:20","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=5&Year_from=2015&Year_to=2015&Station=STA-BETN043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETN043","41N043 - HAREN","SPO-BETN043_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y-P1D-per90.4","1 year 90.4 percentile - COMPLIANCE","2015","44.083","ug/m3","80.82","1","Industrial","Suburban","4.3830","50.8837","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 22:08:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=5&Year_from=2015&Year_to=2015&Station=STA-BETN043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETN043","41N043 - HAREN","SPO-BETN043_00005_100","PM10","Particulate matter < 10 µm (aerosol)","P1Y-P1D-per90.41","1 year 90.41 percentile","2015","44.083","ug/m3","80.82","1","Industrial","Suburban","4.3830","50.8837","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 22:09:05","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=5&Year_from=2015&Year_to=2015&Station=STA-BETN043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETN043","41N043 - HAREN","SPO-BETN043_00007_100","O3","Ozone (air)","AOT40f","AOT40 for forest protection","2015","6295.655","ug/m3","95.26","1","Industrial","Suburban","4.3830","50.8837","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 23:06:40","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=7&Year_from=2015&Year_to=2015&Station=STA-BETN043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETN043","41N043 - HAREN","SPO-BETN043_00007_100","O3","Ozone (air)","P1Y-day-min","1 year day min","2015","2.042","ug/m3","96.44","1","Industrial","Suburban","4.3830","50.8837","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 21:56:21","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=7&Year_from=2015&Year_to=2015&Station=STA-BETN043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETN043","41N043 - HAREN","SPO-BETN043_00007_100","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2015","8.000","count","96.71","1","Industrial","Suburban","4.3830","50.8837","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 22:25:06","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=7&Year_from=2015&Year_to=2015&Station=STA-BETN043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETN043","41N043 - HAREN","SPO-BETN043_00007_100","O3","Ozone (air)","P1Y-hr-per50","1 year 50 percentile","2015","30.500","ug/m3","96.14","1","Industrial","Suburban","4.3830","50.8837","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 22:05:49","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=7&Year_from=2015&Year_to=2015&Station=STA-BETN043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETB004","41B004 - STE.CATHERI","SPO-BETB004_00008_100","NO2","Nitrogen dioxide (air)","P1Y-hrsAbove200","1 year hour exceed 200","2015","0.000","count","97.44","1","Background","Urban","4.3478","50.8521","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 21:48:42","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=8&Year_from=2015&Year_to=2015&Station=STA-BETB004&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETB004","41B004 - STE.CATHERI","SPO-BETB004_00010_100","CO","Carbon monoxide (air)","P1Y-hr-per50","1 year 50 percentile","2015","0.180","mg/m3","90.54","1","Background","Urban","4.3478","50.8521","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 22:05:49","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=10&Year_from=2015&Year_to=2015&Station=STA-BETB004&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETB006","41B006 - PARL.EUROPE","SPO-BETB006_00007_100","O3","Ozone (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2015","45.250","ug/m3","93.42","1","Background","Urban","4.3744","50.8386","67.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 22:15:13","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=7&Year_from=2015&Year_to=2015&Station=STA-BETB006&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETB006","41B006 - PARL.EUROPE","SPO-BETB006_00007_100","O3","Ozone (air)","P1Y-dx-avg","1 year daymax average","2015","61.253","ug/m3","92.88","1","Background","Urban","4.3744","50.8386","67.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 22:27:48","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=7&Year_from=2015&Year_to=2015&Station=STA-BETB006&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETB006","41B006 - PARL.EUROPE","SPO-BETB006_00007_100","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2015","0.000","count","92.16","1","Background","Urban","4.3744","50.8386","67.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 21:50:25","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=7&Year_from=2015&Year_to=2015&Station=STA-BETB006&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETB006","41B006 - PARL.EUROPE","SPO-BETB006_00010_100","CO","Carbon monoxide (air)","P1Y-dx-max","1 year day max max","2015","0.843","mg/m3","93.70","1","Background","Urban","4.3744","50.8386","67.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 21:44:39","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=10&Year_from=2015&Year_to=2015&Station=STA-BETB006&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETB006","41B006 - PARL.EUROPE","SPO-BETB006_00020_100","C6H6","Benzene (air)","P1Y-hr-max","1 year hour max","2015","2.250","ug/m3","43.86","1","Background","Urban","4.3744","50.8386","67.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 21:57:02","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=20&Year_from=2015&Year_to=2015&Station=STA-BETB006&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETB004","41B004 - STE.CATHERI","SPO-BETB004_00007_100","O3","Ozone (air)","P3Y","3 subsequent calendar years mean","2015","37.399","ug/m3","97.46","1","Background","Urban","4.3478","50.8521","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 21:36:00","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=7&Year_from=2015&Year_to=2015&Station=STA-BETB004&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETN043","41N043 - HAREN","SPO-BETN043_00007_100","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2015","0.000","count","96.14","1","Industrial","Suburban","4.3830","50.8837","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 21:46:37","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=7&Year_from=2015&Year_to=2015&Station=STA-BETN043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETN043","41N043 - HAREN","SPO-BETN043_00008_100","NO2","Nitrogen dioxide (air)","P1Y-day-max","1 year day max","2015","95.674","ug/m3","96.44","1","Industrial","Suburban","4.3830","50.8837","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 21:43:56","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=8&Year_from=2015&Year_to=2015&Station=STA-BETN043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETN043","41N043 - HAREN","SPO-BETN043_00008_100","NO2","Nitrogen dioxide (air)","P1Y-hr-max-per99.79","1 year 99.79 %ile of hourly values in a given year","2015","123.000","ug/m3","95.90","1","Industrial","Suburban","4.3830","50.8837","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 22:07:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=8&Year_from=2015&Year_to=2015&Station=STA-BETN043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETN043","41N043 - HAREN","SPO-BETN043_00008_100","NO2","Nitrogen dioxide (air)","P1Y-hr-min","1 year hour min","2015","4.000","ug/m3","95.90","1","Industrial","Suburban","4.3830","50.8837","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 22:31:20","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=8&Year_from=2015&Year_to=2015&Station=STA-BETN043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETN043","41N043 - HAREN","SPO-BETN043_00010_100","CO","Carbon monoxide (air)","P1Y-dx-max","1 year day max max","2015","1.910","mg/m3","86.58","1","Industrial","Suburban","4.3830","50.8837","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 21:44:39","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=10&Year_from=2015&Year_to=2015&Station=STA-BETN043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Belgium","NET-Brussels","Brussels","BETB004","41B004 - STE.CATHERI","SPO-BETB004_00007_100","O3","Ozone (air)","P3Y-dmaxAbove120","Daymax exceed 120 averaged over 3 consecutive years","2015","6.667","count","100.00","1","Background","Urban","4.3478","50.8521","17.0","Bruxelles / Brussel                                                             ","BE001C1                                           ","1223364","E1a/validated data AQ e-Reporting","18/03/2023 22:34:54","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BE&CityName=&Pollutant=7&Year_from=2015&Year_to=2015&Station=STA-BETB004&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
